landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,p,n,long_model,surv_model,dataset,train_size,task
,avg,12,24,36,48,60,avg,12,24,36,48,60,avg,avg,nr_zero,,,,,,,
36,0.5,0.5,0.5,0.5,0.5,0.5,1.133866955481602,1.1125073056691994,1.2420055105619103,1.155625428060424,1.0314673242192216,1.1002318125005028,0.5,-13.330484569543176,0.9491525423728814,0,0,last_visit,CPH,ADNI,ADNI,Random search
36,0.996564041441668,0.9951602222568228,0.995973824100016,0.9958527354585331,1.0,1.0,0.0840571534537501,0.056926240181503,0.0745991447488811,0.1015826575412793,0.082981513821712,0.0972043552247527,0.9588235294117649,-0.7871430405542699,0.0,10,0,last_visit,RSF,ADNI,ADNI,Random search
36,0.996919389782602,0.9932057879670116,0.9954015966459284,0.9985709249977184,1.0,1.0,0.0667598693231769,0.0653637184327013,0.0796221073595959,0.0845424051062096,0.0477021412963513,0.0449819286284003,0.9588235294117649,-0.716027949775391,0.0,21,0,RNN,CPH,ADNI,ADNI,Random search
36,0.9708624774557942,0.9615426497390565,0.9893485282992812,0.9675332135446576,0.97614996584156,0.9564556852620584,0.1099443726852397,0.0927073481542507,0.1222790357721342,0.1267710056767231,0.0964749188268442,0.095797712776264,0.8058823529411765,-1.1296505115841586,0.0,76,0,RNN,FNN,ADNI,ADNI,Random search
36,0.9976304244314136,0.9965494616973324,0.995762840955973,0.997811139614236,1.0,1.0,0.0555706589640041,0.0501834825050235,0.0761189677772265,0.0735549521125135,0.0285307388569711,0.0379724717135869,0.9666666666666668,-0.7048229709063663,0.0,68,0,RNN_long,CPH,ADNI,ADNI,Random search
36,0.9559226034393236,0.8602772979155355,0.967798050808942,0.9994706708465788,0.9990515304452608,0.9974064304480138,0.0659856626034156,0.0927064386792958,0.1038191427432604,0.0455885593115553,0.0416426849102243,0.0530780882179489,0.884313725490196,-0.8176129302445333,0.0,41,0,RNN_long,FNN,ADNI,ADNI,Random search
36,0.9693221702978204,0.9965494616973324,0.9982601609511956,0.9455333483783008,0.954446303628547,0.9538609213016468,0.0949941664007803,0.0517706042838133,0.0664415388578231,0.1210822949520025,0.1040895017675425,0.1249560557676932,0.9588235294117649,-0.7747429945715258,0.0,33,0,RNN_long,RSF,ADNI,ADNI,Random search
36,0.9610633338555856,0.9524263272549708,0.9688361288855132,0.9602708286885048,0.968418476779102,0.9680126421921706,0.0698344571586328,0.0651048554927972,0.0784040744350269,0.078604552287986,0.0591198349913953,0.0613138783474489,0.9274509803921568,-0.7473457392648508,0.0,57,0,RNN,RSF,ADNI,ADNI,Random search
36,0.9992524683802002,0.9985547722017204,0.9985080818053323,1.0,1.0,1.0,0.0243444448587876,0.0459581218707236,0.051849275126786,0.0105828167162324,0.0066148007602042,0.0107036517931316,0.9404761904761904,-0.6395521845556061,0.0,0,1,last_visit,CPH,ADNI,ADNI,Random search
