landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,n,long_model,surv_model,dataset,train_size,task
,avg,12,24,36,48,60,avg,12,24,36,48,60,avg,avg,nr_zero,,,,,,
12,0.9261578183478596,0.9367558577412012,0.9193018849420356,0.9441145034926494,0.9250584117760756,0.8997483150221126,0.1355620700151932,0.0927446705523317,0.1379898212836582,0.1232635232903285,0.1504051447555943,0.1684349109100519,0.844626168224299,-1.2808328678387872,0.0,0,baseline,CPH,ADNI,ADNI,No
24,0.903549454445818,0.8956602830913829,0.9436850067059058,0.91454208278569,0.8819201571686158,0.898492745013721,0.1220660705903486,0.0877561656924757,0.0935411113528834,0.1308231722793945,0.1573672767679052,0.1253092782299466,0.8388814913448736,-1.0346355142116728,0.0,0,baseline,CPH,ADNI,ADNI,No
36,0.9203537232323182,0.9973452156818065,0.9260285531916632,0.8724939204403376,0.8969938419297934,0.8963664663478852,0.0947818808388701,0.0375092592767389,0.084011719516167,0.1246111409161313,0.0998460922258754,0.1038078821178745,0.9274509803921568,-0.8572487205077771,0.0,0,baseline,CPH,ADNI,ADNI,No
48,0.8113436091740944,0.7785553284596137,0.794951167546681,0.8513408252521506,0.8504353926254928,0.8184428826397974,0.0949205469822906,0.0479957295313557,0.0986875768143789,0.0850553214637043,0.0861528753229641,0.1715770991248741,0.8457943925233645,-0.9443168448580884,0.0,0,baseline,CPH,ADNI,ADNI,No
12,0.9971220027525132,0.99276528956039,0.9962781676139012,0.9979572633969256,0.9978774048912272,1.0,0.0424837162727049,0.0286451387101736,0.0288022619789351,0.0583197551789482,0.0579748805732186,0.0210307960092617,0.937002652519894,-0.6520637406032828,0.0,1,baseline,CPH,ADNI,ADNI,No
24,0.9986456664984882,0.9978700017381203,0.9977283205399688,0.997639511769014,1.0,1.0,0.0358335825582948,0.0144390792995848,0.0557391899723309,0.0549301862816219,0.0176751089082373,0.015540610842394,0.9451612903225808,-0.6312174601481171,0.0,1,baseline,CPH,ADNI,ADNI,No
36,0.9986398637227888,0.9973704031973918,0.9972676020477332,1.0,1.0,1.0,0.0386353125024527,0.069522726232457,0.0666754982424443,0.0239515317402892,0.0188495281002981,0.0206066576211012,0.9345238095238096,-0.7339906219881637,0.0,1,baseline,CPH,ADNI,ADNI,No
48,0.8405906447210941,,1.0,1.0,1.0,0.7734709161826073,0.029828863634975,0.025429242963234,0.0028931922889812,0.0048038513063003,0.0081131039325488,0.1815813710609058,0.8292682926829268,-0.8789992631671851,0.0,1,baseline,CPH,ADNI,ADNI,No
12,0.9819593275067924,0.9874931149811068,0.9900851700096638,0.98313748514503,0.9654347831367928,0.9650299437059072,0.1258750505432116,0.085269310774163,0.0924140224199361,0.1385362603073147,0.1606493112205035,0.1385319056760207,0.8915531335149863,-1.2086744287447218,0.0,2,baseline,CPH,ADNI,ADNI,No
24,0.962852590514732,0.9857389996766744,0.9713707877437644,0.9469747568997082,0.9463537074405298,0.9520086926503092,0.1610368922911485,0.0578638221430978,0.1506099492995792,0.192774162446699,0.1691172629129342,0.2054285668676655,0.8134657836644592,-1.0994089314759032,0.0,2,baseline,CPH,ADNI,ADNI,No
36,0.9481495455638717,0.9589304595775752,0.9316579143341844,0.9308574688697174,0.940814307762692,0.9589888753395212,0.2041859254600882,0.1436791929238272,0.202270365919991,0.1799582610922691,0.2252401921799386,0.2748705723724813,0.8106796116504854,-1.214621838359016,0.0,2,baseline,CPH,ADNI,ADNI,No
