landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,mse,mse,mse,mse,mse,mse,n,long_model,surv_model,dataset,train_size,task
,avg,1,2,3,4,5,avg,1,2,3,4,5,avg,avg,nr_zero,avg,1,2,3,4,5,,,,,,
1,0.9686600772219834,0.9538153665624702,0.9643721609004706,0.9698172410747355,0.9752244450209002,0.9795148433576112,0.0821974591254263,0.0559430212560717,0.0777149314293595,0.0880570059585882,0.0911446887804084,0.0878033994106266,0.7113085420267189,-1.283174808694315,0.0,0.0055444850435195,0.0025015510562499,0.0048458908970532,0.0064043428437814,0.0072709109833378,0.0066997294371751,0,baseline,CPH,s1,1000,No
2,0.9693171769633974,0.9595907656823808,0.964771619186318,0.9710234563841964,0.9761918547952414,0.9743651772264404,0.0867828812731427,0.0595606470700609,0.0841327207629545,0.0930774386928264,0.0923947621586601,0.095492559886199,0.7088992493667124,-1.2950041672272317,0.0,0.0064845442675004,0.0029985967955506,0.0059536281336571,0.0076954597520535,0.0071743789647429,0.0086006576914978,0,baseline,CPH,s1,1000,No
3,0.9638138008709785,0.9540363164073232,0.9632216118315778,0.970609139821968,0.9690527541705272,0.961995305973534,0.0949678226165439,0.0678171254041664,0.0927063623273465,0.0983426444501087,0.1044103607931727,0.1010067203869293,0.7043992932456247,-1.3124139276922318,0.0,0.0073127557544602,0.0039799586535097,0.0075832404741376,0.0076064759303286,0.0095728049453427,0.0078212987689824,0,baseline,CPH,s1,1000,No
4,0.9557067760560234,0.955038936193497,0.9647775775988504,0.9626813639000332,0.9547398868560952,0.9408299503291936,0.1021539812456091,0.0757196181517887,0.0979531449380785,0.1108974712609161,0.109772419527876,0.1042661603593432,0.7023972880442051,-1.3164266803505833,0.0,0.0078675038690708,0.0052417051698091,0.0074333240817111,0.0103151830454597,0.0083780101577533,0.0079692968906207,0,baseline,CPH,s1,1000,No
1,0.9741939164405852,0.9617731917179042,0.9709208229311822,0.974926467662688,0.9798150995387632,0.9830707604216954,0.0808166508175183,0.0563498947827521,0.0759618118258232,0.0866306564636292,0.0894675174471492,0.0860633402841912,0.7114171874418167,-1.284851398577069,0.0,0.005076818900354,0.0024246535875585,0.0042105707904967,0.0058473933258318,0.0067684426660119,0.0061330341318709,1,baseline,CPH,s1,1000,No
2,0.974376897719562,0.9668859372610066,0.970498253256548,0.9763190940398044,0.9802231978153352,0.9774692394419836,0.0847533481589206,0.0576189075777625,0.082168181089456,0.0906721546160924,0.0900677349293707,0.094591736423764,0.7091671068688206,-1.3007725083910997,0.0,0.0057049669903632,0.0024581212706761,0.00521597833617,0.0069821366305791,0.006471318956834,0.0073972797575566,1,baseline,CPH,s1,1000,No
3,0.9686241670608884,0.9609368068994478,0.969838720054492,0.9754545321177146,0.9727094178418568,0.9643617506533054,0.0943128766988036,0.067389024099802,0.0916213429042596,0.0972297922569832,0.1049101705776196,0.0995913780129021,0.7049851917036778,-1.3199552170295783,0.0,0.0067141344946697,0.0038135120011874,0.0070320965442622,0.0068900214703612,0.0081940772420241,0.0076409652155136,1,baseline,CPH,s1,1000,No
4,0.9604467357675694,0.9642243591216362,0.9709396887598862,0.9673132585900982,0.9577834603188966,0.9415083143655532,0.1035669508069644,0.0760552588193337,0.0985456956622395,0.1133717201491743,0.1102428102609918,0.1081598954915703,0.7033113831164113,-1.3192912183637386,0.0,0.0071725756002847,0.0045447433507213,0.0064593750828234,0.0085041303614837,0.0081938694760932,0.0081607597303018,1,baseline,CPH,s1,1000,No
1,0.97371342226879,0.9611349789065295,0.9704863429898516,0.974538775535014,0.9793182169757704,0.9826264688534646,0.0827385631173733,0.0571416886393405,0.0774990156217217,0.0889784462909157,0.0916602843994872,0.088491323675397,0.7112305626562052,-1.2584404437305354,0.0,0.005793802389941,0.0028500344837966,0.0046455540593877,0.0068459209306142,0.0074723101849125,0.007155192290994,2,baseline,CPH,s1,1000,No
