landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,mse,mse,mse,mse,mse,mse,n,long_model,surv_model,train_size,task
,avg,1,2,3,4,5,avg,1,2,3,4,5,avg,avg,nr_zero,avg,1,2,3,4,5,,,,,
1,0.8207673098390439,0.8995295196074798,0.85255578566158,0.8091353816923419,0.7697329402979285,0.733327825293365,0.1559329703973705,0.0781164806731846,0.1285480079144463,0.1624706894537956,0.1891756732588358,0.2089585412516237,0.6418708055267092,-1.742602584711685,0.0,0.0864961798940983,0.0241115981689452,0.0572839030972113,0.0898123503006197,0.1183762272340227,0.1428968206696928,0,baseline,CPH,1000,No
2,0.7360630089754331,0.8056195449606012,0.7616261756658582,0.7218162598425912,0.6847097593754499,0.6589967696674209,0.185043204357067,0.0975089180811341,0.154585418007271,0.1947208275471626,0.2228978400047838,0.2384285456569669,0.6067933668295005,-1.8194412132662552,0.0,0.1155395254827192,0.0350837962845097,0.0835637151245449,0.1237339041281445,0.1555288100971435,0.1797874017792533,0,baseline,CPH,1000,No
3,0.6512021640237806,0.7091558211249215,0.6692110270855376,0.6313048844721674,0.6081721668153612,0.5906455454011723,0.2084714155801005,0.104744134041764,0.1741319624316791,0.2218206919460284,0.2511504991884908,0.2688208834666429,0.5699742793959929,-1.877342161377105,0.0,0.1404897778991557,0.0489634462651915,0.106198066581816,0.1526809803610588,0.1872811136516215,0.2073252826360906,0,baseline,CPH,1000,No
4,0.5779113200743587,0.6221413065790148,0.5829046137403626,0.5644710452981755,0.5480571055215602,0.5339748316773891,0.2234569487092783,0.1107673632305195,0.1879683588082422,0.2384252036067167,0.2682919678684908,0.2875171658768071,0.5363215300658226,-1.896175130682068,0.0,0.156681336806944,0.0533907271876888,0.1217718316331306,0.1738609574715024,0.2067271084026127,0.2276560593397852,0,baseline,CPH,1000,No
1,0.8270870527204306,0.9058104123905072,0.8592008263624665,0.8151647403559535,0.7763436317938964,0.7392596835134643,0.1525361618650849,0.0793946473777454,0.1282426742075379,0.1580199771922989,0.1827436227750646,0.2028820991931308,0.6439848692607888,-1.7430426602003743,0.0,0.0855871774586199,0.0246840924442627,0.056546206126967,0.0883111770193964,0.1169055110679372,0.1414889006345365,1,baseline,CPH,1000,No
2,0.7419475786478432,0.8132936493157836,0.7674728048893513,0.7280541845624005,0.6899103749430678,0.6623032008573404,0.1793581004567875,0.0963967061408324,0.1496945828451249,0.1873362348802097,0.2154733519302255,0.2334597582023469,0.6091602032377116,-1.8163667605794576,0.0,0.1142931841990031,0.0344431696128389,0.0824066108686466,0.1224348564583233,0.1541443591111391,0.1780369249440678,1,baseline,CPH,1000,No
3,0.6541414033469923,0.7125251154385954,0.6738330919557383,0.6346417997332154,0.60940774363971,0.5914306749955712,0.2047622267985838,0.1025620039279591,0.1699077708443149,0.2176638412974501,0.2491855326975277,0.2620215207821259,0.5717965509714036,-1.880126383925148,0.0,0.139719504666434,0.0485216181842169,0.1056649063815364,0.1519599573144331,0.1859540802523321,0.2064969611996517,1,baseline,CPH,1000,No
4,0.5809500830911779,0.6286027587529852,0.5866758538363546,0.565484345635294,0.5483907323080033,0.5350282156079479,0.2251883546242215,0.1108854651743683,0.189551332811297,0.2432068046834762,0.2682378508930081,0.2886293950438407,0.5382501844641043,-1.916054739680903,0.0,0.1560676124241773,0.0532817690135028,0.1213738224056775,0.173161107876223,0.2054978814792775,0.2270234813462059,1,baseline,CPH,1000,No
1,0.826673277820704,0.9034792854090284,0.8580993851043242,0.8157918115489186,0.7770216211228131,0.7400242878046206,0.1563985413566122,0.0804316179756251,0.1313002473519543,0.1636806725925843,0.1875502747443696,0.2056943234994556,0.6435939888496219,-1.7092573832001323,0.0,0.086885122584194,0.0255436612156868,0.0584493668296842,0.0909769998281683,0.1181266035202797,0.1413289815271512,2,baseline,CPH,1000,No
2,0.7424867954685197,0.8116177533336385,0.7684429429394691,0.7291865914665514,0.6912258678049474,0.6642869384776967,0.1810477820275625,0.0975824427880709,0.153241238295564,0.190341810955584,0.2167369762261415,0.2301597624778504,0.6091859501978434,-1.775682005957696,0.0,0.1139326063684438,0.0347539097118232,0.0833553473740204,0.1224533652914006,0.1530582565938368,0.1760421528711382,2,baseline,CPH,1000,No
3,0.6562250730433088,0.7146089663585713,0.6755410403239663,0.6365296020086912,0.6119667014755024,0.59382089401625,0.2020837660205031,0.1036143126139861,0.1695858419066412,0.2154424766694175,0.242869948239492,0.2572592819189376,0.5717851617740574,-1.8240733624899192,0.0,0.1375704907471877,0.0489627846854034,0.1044556186009759,0.149410161659221,0.1827628355311444,0.2022610532591937,2,baseline,CPH,1000,No
4,0.5821623292348916,0.6289559134115326,0.5878106012640525,0.567536526156284,0.5503564939922648,0.535932550845385,0.2174211867764152,0.1087647606394168,0.1842322673122728,0.233200679359419,0.258883002531959,0.2779728351646028,0.5378790646026168,-1.8286512039187568,0.0,0.1516498565004101,0.0513415658472283,0.1173790403447791,0.1689536648528994,0.2002986752349984,0.2202763362221451,2,baseline,CPH,1000,No
1,0.8256762212119584,0.9040899522729948,0.8575318099080871,0.8135067994417848,0.7752533573371702,0.7386403781205559,0.1555705340951506,0.0791024817123458,0.1296669735232422,0.1615900373302675,0.1877953007827771,0.2073571677762855,0.6434947034362593,-1.739253309602279,0.0,0.0856269819545229,0.0241436524053143,0.0564140384837304,0.0883602001480617,0.1173104643063347,0.1419065544291734,3,baseline,CPH,1000,No
2,0.7408843043247966,0.8111371374706828,0.7657547895239928,0.7274006659202235,0.6899036709729686,0.6623095862562983,0.1825582771184304,0.0974954312125756,0.152694493134478,0.1917676321626716,0.2193543850908243,0.2353377649589195,0.6086804306147683,-1.8114097329649528,0.0,0.1145240468941766,0.0344389135723543,0.0824886861123136,0.1227942749958045,0.1545258676963903,0.1783724920940201,3,baseline,CPH,1000,No
3,0.6541104726192505,0.7109382448123425,0.6740603428157608,0.6355871689167307,0.6101023255640273,0.5915601356632973,0.2062636347617555,0.1036774743357647,0.1727302053122498,0.2197134056503257,0.2488753880360869,0.263793605760954,0.5716190693127569,-1.873464202445062,0.0,0.1400368655539804,0.0485320149701384,0.1062931507800217,0.1525892236194191,0.1864607328281641,0.2063092055721586,3,baseline,CPH,1000,No
4,0.5822925418884431,0.6304813706370684,0.5886982447677455,0.5666017501390703,0.5487842991752281,0.535477293827781,0.2242725736973359,0.1123374491111327,0.1897340160384422,0.240403089755352,0.2676694438853572,0.2862300411092515,0.5386227654274088,-1.9066601673635264,0.0,0.1568850162203361,0.0545626723769192,0.1225828896556024,0.1741887989722414,0.2065038009094719,0.2265869191874455,3,baseline,CPH,1000,No
1,0.825658101168652,0.9034027527851818,0.8575416832969915,0.8142454508835928,0.7755062721557142,0.7382388010244525,0.1541528047632473,0.0787246561123454,0.1286428741964729,0.1600553546946015,0.1851720693562575,0.2067571854989688,0.6433319111368716,-1.731596025868505,0.0,0.0858350215178438,0.0242079082441352,0.0571328444060281,0.0888692299663466,0.1172268201957717,0.1417383047769372,4,baseline,CPH,1000,No
2,0.7407400172740134,0.8109812519591442,0.7664950201576739,0.7273479321823882,0.6891661045638438,0.6614577507865507,0.1827052927183484,0.0968464597100567,0.1516808711081474,0.1900256342536823,0.2199122761207248,0.241558319071621,0.6083683272200002,-1.8029478738253109,0.0,0.1148693954281053,0.034753860018001,0.0828150247434522,0.1228115237355507,0.1547406598952797,0.1792259087482429,4,baseline,CPH,1000,No
3,0.6543206146674735,0.7125563529610917,0.6740036724133406,0.6348985940431725,0.6097778409743915,0.5915281346012649,0.2105372675564719,0.104203945691516,0.1722467071978315,0.2216896088884327,0.2575996001447581,0.2770223622982149,0.5713561686740127,-1.8582604480921607,0.0,0.1401205615543901,0.0487481020395245,0.1056030127903932,0.1519451036777895,0.1867284888915395,0.2075781003727038,4,baseline,CPH,1000,No
4,0.5811188034197203,0.628295684692505,0.5868911542705525,0.5662013868676391,0.5491225176108825,0.5345768576620898,0.2293396095062378,0.109429411496176,0.1876994628033082,0.2455739518885848,0.2773301084907649,0.3040804181884108,0.5377782485772521,-1.8795063926922748,0.0,0.1558293391366389,0.0524148632748377,0.1198662732450872,0.1729137374862131,0.2062613255835963,0.2276904960934601,4,baseline,CPH,1000,No
1,0.8235270222603245,0.9010987203268128,0.8556075305551392,0.8123062614382947,0.7728919023622451,0.7363583804088184,0.155871152243166,0.0815055866375977,0.1308467479905622,0.1624190096429661,0.1869739922192865,0.204984131602101,0.6430667028029793,-1.7327806808766686,0.0,0.0871582780048933,0.0262504227712368,0.0587888446878232,0.0906445077599329,0.1181809150378049,0.1419266997676687,5,baseline,CPH,1000,No
2,0.738969147209978,0.8093383242708744,0.764697709200777,0.7246012334618186,0.6871686876143949,0.6609699600105414,0.1805987324816616,0.096525171788496,0.1517884802161576,0.1899814876239114,0.2163678359029978,0.2319890805786632,0.6081931222961767,-1.7928486353182256,0.0,0.1147430267602029,0.0349397333439945,0.0833337984905469,0.1229855840900382,0.1542120041658856,0.1782440137105492,5,baseline,CPH,1000,No
3,0.6522890806341527,0.7105848013931836,0.6705904872738071,0.6323919350096913,0.6088344078205009,0.591091162948715,0.2044032667777728,0.1035023834342989,0.1710604762817503,0.2170104261039348,0.2464908109741436,0.2626003240682261,0.5708427056936496,-1.8464316872888775,0.0,0.1392240761500826,0.0487713959679573,0.1052614439839052,0.150969190878992,0.1853234099180063,0.205794940001552,5,baseline,CPH,1000,No
4,0.5784515069061471,0.6233277937828534,0.5836479400642269,0.5647560649319203,0.5480406634229138,0.5338682449317315,0.2205207412721575,0.1094324683505883,0.184812155055332,0.2355892466890574,0.2634248032350163,0.2870810518678599,0.5368431434144488,-1.8524363330604927,0.0,0.1542738898767017,0.0522452206096772,0.1192291203489994,0.1711284209173897,0.2037718489963303,0.2249948385111119,5,baseline,CPH,1000,No
1,0.8260899331857297,0.9053782450169252,0.8575108500554356,0.8138487202125773,0.7753420256037616,0.7389226149059253,0.1532674191788245,0.0775606877651069,0.1289938391422014,0.1602754642363556,0.1841518025828748,0.2017364537426254,0.6429463975048055,-1.7566596488762771,0.0,0.0861199667561771,0.0236287471465428,0.0569922915443037,0.0893407949631672,0.1180392896086276,0.1425987105182441,6,baseline,CPH,1000,No
2,0.7408106530915122,0.810443003640642,0.7660214915260752,0.7271275563051464,0.689757822120233,0.663096010888343,0.1795381690125107,0.097712426739379,0.1522253619352518,0.1884523500003488,0.2140686146242688,0.2291002722409681,0.6084675472127031,-1.831344968967408,0.0,0.1151027894739497,0.0348191359256301,0.0832588196028811,0.123120911321834,0.1549821714184548,0.1793329091009484,6,baseline,CPH,1000,No
3,0.6551399128902361,0.7132307044519833,0.6744179178064447,0.6357506839467107,0.6111385166133106,0.5925455570792114,0.2028469117569639,0.1033584666259749,0.1698480180956235,0.2150902639083627,0.2430233347198649,0.2634935939820336,0.5715583269269098,-1.8769618576961984,0.0,0.1400742446542176,0.0485612551220132,0.1058072038824846,0.1523138508068021,0.1867238532313562,0.206965060228432,6,baseline,CPH,1000,No
4,0.5812474406192557,0.6285721339024752,0.587258926672124,0.5665360202713599,0.5488093232443214,0.5341263365922093,0.2222846868102468,0.1101267912029191,0.1857415537799261,0.234466288980666,0.2665601586359327,0.2946147004860059,0.5381522906423735,-1.904991073565745,0.0,0.1560563847980638,0.0534982399346805,0.1213001814402974,0.1730906706480383,0.2057632635394846,0.2266295684278181,6,baseline,CPH,1000,No
1,0.8233139746564136,0.8994868370388491,0.8555734405811238,0.8116357731728061,0.7738796757228867,0.7371077917418192,0.1510164524160183,0.0768546937076798,0.1250054586372573,0.1565309977925759,0.1821155007076166,0.2039730113455667,0.6431123204253352,-1.7677458336714127,0.0,0.0857305532280093,0.0228058091701666,0.0553047520712804,0.088170907290062,0.1180802365704578,0.1442910610380796,7,baseline,CPH,1000,No
2,0.7398640690205696,0.8111173951895144,0.7644919712265719,0.7262460048111531,0.6883199719045171,0.6607707438892586,0.1812607306993656,0.0956302536677167,0.1503219335903744,0.1889753381519013,0.2190568498455261,0.2377473487516042,0.6088857783211852,-1.8436037457632224,0.0,0.1172543428148303,0.0347145059350743,0.0835886931265407,0.1250057174658565,0.1583948868914313,0.1845679106552485,7,baseline,CPH,1000,No
3,0.6516756123532479,0.7081814046669925,0.6719088931265411,0.6331088582316581,0.6078655155732695,0.589058127583606,0.2106884982027659,0.104129175049561,0.1732006661737746,0.2239188097969238,0.2564509518940513,0.2742379548430665,0.5714776534457068,-1.8940597200487763,0.0,0.1449432798352785,0.0496105036631035,0.108643924876553,0.1572704798501471,0.1936160865931129,0.215575404193476,7,baseline,CPH,1000,No
4,0.5804156115901896,0.6289536838963307,0.5865628541186023,0.564788285837463,0.5465066093473487,0.5336807661782232,0.2342292828933815,0.1122423202521595,0.1951225143153774,0.2501360444997518,0.2803651017354021,0.31034462179383,0.5384182111730456,-1.9168003367594784,0.0,0.1633012097563134,0.0547991037749522,0.1266552313084917,0.181117725336753,0.2153507552570792,0.238583233104291,7,baseline,CPH,1000,No
1,0.8231129481487188,0.900928060412983,0.8551463787404181,0.8111934536527184,0.772593335425771,0.736449466435149,0.155149301625053,0.0807671816305304,0.1308909102985263,0.1628448299591567,0.1853695513758822,0.202216648102763,0.6430814614455062,-1.7374225806240748,0.0,0.0870668227887231,0.0257509129791164,0.0584632574877996,0.0906034105786879,0.1183949236100576,0.142121609287954,8,baseline,CPH,1000,No
2,0.7388830095532065,0.8093046070134513,0.7637876862093912,0.7246917699811471,0.6875925740157119,0.6611961515257551,0.1795859304288939,0.0970276632007298,0.1526605970888168,0.1887235280269177,0.2137669514491035,0.2293576271007453,0.608834912375559,-1.7996812948331886,0.0,0.1147869590996262,0.0347759711346156,0.0832978694033966,0.123109435532402,0.1542730145297734,0.1784785048979436,8,baseline,CPH,1000,No
